,words,polarity_score,count_up,count_down,total
168,멘트/NNG,0.6154705439310643,8.0,18.0,26.0
169,재판부/NNG,0.2885018174676864,5.0,24.0,29.0
170,갈아치우/VV,0.3462021809612235,5.0,20.0,25.0
171,일원/NNG,0.740156386882616,31.0,58.0,89.0
172,준정부기관/NNG,0.2163763631007647,5.0,32.0,37.0
173,정부대책/NNG,0.240836299799112,4.0,23.0,27.0
174,달갑/VA,0.6924043619224473,6.0,12.0,18.0
175,스페이스/NNG,0.4945745442303194,20.0,56.0,76.0
176,중도상환수수료/NNG,0.4286312716662769,13.0,42.0,55.0
177,눈앞/NNG,0.6924043619224471,20.0,40.0,60.0
178,상자/NNG,0.7456662359164816,28.0,52.0,80.0
179,수명/NNG,0.2596516357209177,3.0,16.0,19.0
180,항만공사/NNG,0.7288466967604708,10.0,19.0,29.0
181,경제/NNG;침체/NNG,0.6294585108385884,10.0,22.0,32.0
182,완만/NNG;경기/NNG;회복/NNG,0.6231639257302025,9.0,20.0,29.0
183,양육/NNG,0.3462021809612236,6.0,24.0,30.0
184,직결/NNG,0.5000698169439897,13.0,36.0,49.0
185,장기전/NNG,0.5385367259396812,7.0,18.0,25.0
186,디플레이션/NNG;경기/NNG;침체/NNG,0.7553502130063061,12.0,22.0,34.0
187,새롭/VA;매파/NNG,0.6462440711276174,7.0,15.0,22.0
188,국산/NNG,0.3462021809612235,7.0,28.0,35.0
189,피해/NNG,0.6671005480315936,145.0,301.0,446.0
190,평과/NNG,0.3462021809612236,4.0,16.0,20.0
191,과도/NNG;우려/NNG,0.7331340302708266,9.0,17.0,26.0
192,관심주/NNG,0.0629458510838588,1.0,22.0,23.0
193,넘나들/VV,0.6391424879284128,6.0,13.0,19.0
194,유동성함정/NNG,0.4154426171534684,9.0,30.0,39.0
195,은행업/NNG,0.6030618636098733,27.0,62.0,89.0
196,융자/NNG,0.4452761169919275,100.0,311.0,411.0
197,금리/NNG;인상/NNG;가능성/NNG;높/VA,0.6330554166148089,16.0,35.0,51.0
198,금융상황/NNG,0.5752282391355716,27.0,65.0,92.0
199,당첨자/NNG,0.2098195036128628,5.0,33.0,38.0
200,정책/NNG;종료/NNG,0.4616029079482981,9.0,27.0,36.0
201,주거환경/NNG,0.4616029079482981,7.0,21.0,28.0
202,금리/NNG;인하/NNG,0.5311912860309561,229.0,597.0,826.0
203,응모/NNG,0.0865505452403059,2.0,32.0,34.0
204,기울이/VV,0.7111179933257565,19.0,37.0,56.0
205,약정/NNG,0.5904223241199162,55.0,129.0,184.0
206,노사/NNG,0.4154426171534684,9.0,30.0,39.0
207,소시/NNG,0.532618739940344,5.0,13.0,18.0
208,물가/NNG;상승/NNG;우려/NNG,0.488756020180551,6.0,17.0,23.0
209,미/NNG;금리/NNG;인하/NNG,0.6559620270844237,18.0,38.0,56.0
210,주선/NNG,0.2596516357209177,3.0,16.0,19.0
211,걸렸/VV,0.1258917021677177,2.0,22.0,24.0
212,예상/NNG;증가/NNG,0.5385367259396812,7.0,18.0,25.0
213,대서/NNG,0.4945745442303194,5.0,14.0,19.0
214,미일/NNG,0.5874946101160158,14.0,33.0,47.0
215,대형기업/NNG,0.5830773574083766,8.0,19.0,27.0
216,학생/NNG,0.4616029079482981,7.0,21.0,28.0
217,중단/NNG,0.7451427776954099,219.0,407.0,626.0
218,축구/NNG,0.3077352719655321,4.0,18.0,22.0
219,거점/NNG,0.377675106503153,9.0,33.0,42.0
220,생산/NNG;증가/NNG,0.761644798114692,11.0,20.0,31.0
221,법무부/NNG,0.6294585108385884,15.0,33.0,48.0
222,학술/NNG,0.7234075423070343,35.0,67.0,102.0
223,전광판/NNG,0.2769617447689788,7.0,35.0,42.0
224,제언/NNG,0.4451170898072875,9.0,28.0,37.0
225,평면/NNG,0.3956596353842555,6.0,21.0,27.0
226,오너/NNG,0.3644233483802354,5.0,19.0,24.0
227,출시/NNG,0.6335101978049058,199.0,435.0,634.0
228,분양가상한제/NNG,0.3820161996813502,8.0,29.0,37.0
229,석사/NNG,0.7553502130063061,6.0,11.0,17.0
230,풀이/NNG,0.5665126597547295,126.0,308.0,434.0
231,하한선/NNG,0.532618739940344,5.0,13.0,18.0
232,동참/NNG,0.7065350631861705,50.0,98.0,148.0
233,금리/NNG;인하/NNG;그치/VV,0.6924043619224471,10.0,20.0,30.0
