,words,polarity_score,count_up,count_down,total
304,녹록/NNG;않/VX,2.0772130857673416,21.0,14.0,35.0
305,제법/MAG,1.8735647440254457,23.0,17.0,40.0
306,비리/NNG,1.3848087238448945,24.0,24.0,48.0
307,潮流/NNG,51.23792278226109,37.0,1.0,38.0
308,사료/NNG,1.704379967809101,16.0,13.0,29.0
309,말라/VV,2.1541469037587246,14.0,9.0,23.0
310,두기/NNG,4.550085806918939,23.0,7.0,30.0
311,스퀘어/NNG,2.623848108337695,36.0,19.0,55.0
312,정규/NNG,1.9782981769212775,30.0,21.0,51.0
313,결정지/VV,1.523289596229384,11.0,10.0,21.0
314,치발/NNG,2.0002792677759587,13.0,9.0,22.0
315,유가/NNG;불안/NNG,1.3848087238448945,17.0,17.0,34.0
316,발동/NNG,3.635122900092848,84.0,32.0,116.0
317,건설/NNG,1.3782766072229846,1688.0,1696.0,3384.0
318,주식담보대출/NNG,2.250314176247953,13.0,8.0,21.0
319,수요/NNG;압력/NNG,2.571787629997661,13.0,7.0,20.0
320,관찰대상국/NNG,2.30801453974149,15.0,9.0,24.0
321,고용/NNG;감소/NNG,2.53881599371564,22.0,12.0,34.0
322,안녕/NNG,4.327527262015295,50.0,16.0,66.0
323,창출력/NNG,2.0195127222738045,70.0,48.0,118.0
324,순이익률/NNG,2.461882175724257,16.0,9.0,25.0
325,송금/NNG,1.3848087238448945,26.0,26.0,52.0
326,우크라이나사태/NNG,1.6235688486457385,34.0,29.0,63.0
327,상하단/NNG,1.3848087238448947,22.0,22.0,44.0
328,피에스/NNG,1.3621069414867817,60.0,61.0,121.0
329,실업수당/NNG,2.0277556313443097,41.0,28.0,69.0
330,답변/NNG,1.6426188586032524,669.0,564.0,1233.0
331,위원수/NNG,6.370120129686514,23.0,5.0,28.0
332,쿠폰금리/NNG,1.5623483038250094,44.0,39.0,83.0
333,하도급/NNG,1.3848087238448945,12.0,12.0,24.0
334,금리/NNG;상승/NNG;우려/NNG,1.3848087238448945,14.0,14.0,28.0
335,리플레이션/NNG,2.769617447689789,18.0,9.0,27.0
