words,count_up,count_down,total,polarity_score
유가상승/NNG,63.0,52.0,115.0,1.6777490308120837
깊이/NNG,22.0,16.0,38.0,1.90411199528673
내수/NNG;부진/NNG,34.0,34.0,68.0,1.3848087238448945
환매/NNG,165.0,141.0,306.0,1.620520847052536
rqfii/NNG,23.0,6.0,29.0,5.3084334414054295
천호/NNG,33.0,30.0,63.0,1.5232895962293842
진화/NNG,25.0,24.0,49.0,1.4425090873384316
메디케어/NNG,17.0,10.0,27.0,2.3541748305363206
재고자산/NNG,9.0,8.0,17.0,1.5579098143255063
고용증감/NNG,87.0,88.0,175.0,1.36907226107393
노호/NNG,152.0,74.0,226.0,2.844471973303026
세심/NNG,12.0,12.0,24.0,1.3848087238448945
남북경협/NNG,14.0,12.0,26.0,1.6156101778190437
솔직히/MAG,16.0,11.0,27.0,2.014267234683483
몰락/NNG,15.0,11.0,26.0,1.8883755325157652
수산금융채권/NNG,11.0,10.0,21.0,1.523289596229384
기모/NNG,42.0,24.0,66.0,2.4234152667285658
독립/NNG,105.0,88.0,193.0,1.6523285909512946
북클로징/NNG,83.0,75.0,158.0,1.5325216543883498
손실/NNG;위험/NNG,9.0,9.0,18.0,1.3848087238448945
방정식/NNG,15.0,8.0,23.0,2.596516357209177
화폐발행액/NNG,15.0,4.0,19.0,5.193032714418354
간헐/NNG,11.0,11.0,22.0,1.3848087238448947
후순위/NNG,70.0,65.0,135.0,1.4913324718329632
자치/NNG,20.0,15.0,35.0,1.846411631793193
대칭/NNG,23.0,19.0,42.0,1.6763474025490828
고용/NNG;여건/NNG;개선/NNG,13.0,8.0,21.0,2.250314176247953
가이드/NNG,11.0,8.0,19.0,1.90411199528673
과도/NNG;스프레드/NNG;축소/NNG,14.0,4.0,18.0,4.846830533457131
신용카드사/NNG,24.0,23.0,47.0,1.4450177987946724
거둘/VV,26.0,17.0,43.0,2.117942754115721
기민/NNG,10.0,9.0,19.0,1.5386763598276605
상술/NNG,11.0,8.0,19.0,1.90411199528673
이동평균/NNG,178.0,148.0,326.0,1.6655131948945352
pf/NNG;위험/NNG,10.0,10.0,20.0,1.3848087238448945
농촌/NNG,38.0,14.0,52.0,3.758766536150428
소액/NNG,41.0,39.0,80.0,1.4558245558369405
매직/NNG,32.0,23.0,55.0,1.926690398392897
흥분/NNG,10.0,10.0,20.0,1.3848087238448945
간주/NNG,50.0,47.0,97.0,1.47320077004776
시니어론/NNG,98.0,62.0,160.0,2.1888912086580588
통화정책/NNG;경계/NNG,20.0,14.0,34.0,1.9782981769212775
진폭/NNG,21.0,10.0,31.0,2.9080983200742785
자사주/NNG,79.0,80.0,159.0,1.367498614796833
근로시간/NNG,59.0,41.0,100.0,1.992773529435336
태세/NNG,9.0,8.0,17.0,1.5579098143255063
장기영역/NNG,133.0,117.0,250.0,1.5741842758236837
근원/NNG;물가/NNG;상승/NNG,14.0,11.0,25.0,1.7624838303480477
지루/NNG,23.0,13.0,36.0,2.4500462037255826
소비/NNG;증가/NNG,26.0,26.0,52.0,1.3848087238448945
입성/NNG,13.0,9.0,22.0,2.0002792677759587
총고정자본형성/NNG,12.0,8.0,20.0,2.0772130857673416
과반수/NNG,22.0,14.0,36.0,2.176127994613406
직접금융/NNG,41.0,19.0,60.0,2.9882714567179303
투자심리/NNG;약화/NNG,22.0,15.0,37.0,2.031052794972512
원화자산/NNG,35.0,19.0,54.0,2.550963438661648
정량/NNG,22.0,23.0,45.0,1.3245996488951166
해빙/NNG,10.0,9.0,19.0,1.5386763598276605
